year,organization,program_name,base_price,competitor_price,student_count,admission_score,salary_index,final_price
2019,"Адыгейский гос. ун-т., г. Майкоп",Дизайн,155000.0,220000.0,1,81.2,104.47,185000.0
2019,"Адыгейский гос. ун-т., г. Майкоп",История,92000.0,116500.0,1,60.7,104.47,96000.0
2019,"Адыгейский гос. ун-т., г. Майкоп",Лингвистика и иностранные языки,92000.0,122450.0,4,59.2,104.47,96000.0
2019,"Адыгейский гос. ун-т., г. Майкоп",Менеджмент,92000.0,118500.0,6,52.3,104.47,96000.0
2019,"Адыгейский гос. ун-т., г. Майкоп",Педагогическое образование,92000.0,114850.0,14,64.2,104.47,96000.0
2019,"Адыгейский гос. ун-т., г. Майкоп",Психолого-педагогическое и специальное (дефектологическое) образование,92000.0,114700.0,2,47.0,104.47,96000.0
2019,"Адыгейский гос. ун-т., г. Майкоп",Физическая культура,155000.0,153150.0,2,56.3,104.47,139000.0
2019,"Адыгейский гос. ун-т., г. Майкоп",Филология,92000.0,120000.0,2,57.7,104.47,96000.0
2019,"Адыгейский гос. ун-т., г. Майкоп",Экономика,92000.0,114500.0,10,57.4,104.47,96000.0
2019,"Адыгейский гос. ун-т., г. Майкоп",Юриспруденция,92000.0,120000.0,34,56.2,104.47,96000.0
2019,Азово-Черноморский инженерный ин-т. - филиал Донского государственного аграрного ун-т.а в г. Зернограде,Экономика,102200.0,114500.0,1,51.7,104.47,110700.0
2019,"Академия маркетинга и социально-информационных технологий - ИМСИТ, г. Краснодар",Государственное и муниципальное управление,77700.0,117200.0,12,49.4,104.47,83000.0
2019,"Академия маркетинга и социально-информационных технологий - ИМСИТ, г. Краснодар",Дизайн,141500.0,220000.0,35,72.0,104.47,165800.0
2019,"Академия маркетинга и социально-информационных технологий - ИМСИТ, г. Краснодар",Международные отношения,77700.0,121500.0,14,58.5,104.47,83000.0
2019,"Академия маркетинга и социально-информационных технологий - ИМСИТ, г. Краснодар",Менеджмент,77700.0,118500.0,29,55.6,104.47,83000.0
2019,"Академия маркетинга и социально-информационных технологий - ИМСИТ, г. Краснодар",Педагогическое образование,77700.0,114850.0,27,59.3,104.47,83000.0
2019,"Академия маркетинга и социально-информационных технологий - ИМСИТ, г. Краснодар",Реклама и связи с общественностью,90100.0,126900.0,15,58.6,104.47,98300.0
2019,"Академия маркетинга и социально-информационных технологий - ИМСИТ, г. Краснодар",Экономика,77700.0,114500.0,30,55.2,104.47,83000.0
2019,"Академия труда и социальных отношений, г. Москва",Государственное и муниципальное управление,120000.0,116750.0,18,56.6,104.47,125000.0
2019,"Академия труда и социальных отношений, г. Москва",Лингвистика и иностранные языки,123000.0,122200.0,54,62.2,104.47,129000.0
2019,"Академия труда и социальных отношений, г. Москва",Менеджмент,120000.0,118400.0,26,50.9,104.47,125000.0
2019,"Академия труда и социальных отношений, г. Москва",Реклама и связи с общественностью,120000.0,126900.0,16,57.0,104.47,125000.0
2019,"Академия труда и социальных отношений, г. Москва",Экономика,120000.0,114100.0,44,57.2,104.47,125000.0
2019,"Академия труда и социальных отношений, г. Москва",Юриспруденция,123000.0,120000.0,62,59.8,104.47,129000.0
2019,"Академия управления и производства, г. Москва",Государственное и муниципальное управление,110000.0,117200.0,3,63.5,104.47,107200.0
2019,"Академия управления и производства, г. Москва",Менеджмент,110000.0,118500.0,4,43.2,104.47,107200.0
2019,"Алтайский гос. гуманитарно-педагогический ун-т. им. В.М. Шукшина, г. Бийск",Педагогическое образование,91500.0,114850.0,10,50.4,104.47,97600.0
