year,region,education_level,program_name,study_format,duration_months,base_price,competitor_price,demand_index,salary_index,advertising_spend,discount_percent,student_count,final_price,direction_code,source_title,source_url,source_row,source_note
2017,Москва,магистратура,"24.04.08 Магистр Инженер-патентовед, по направлению Управление интеллектуальной собственностью, 1 курс",очная,24,141750.0,141750.0,20.0,100.0,0.0,0.0,124,145000.0,24.04.08,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20171019-structure-20171019.csv,15,за год
2017,Москва,магистратура,"24.04.08 Магистр Инженер-патентовед, по направлению Управление интеллектуальной собственностью, 2 курс",очная,24,141750.0,141750.0,20.0,100.0,0.0,0.0,124,52000.0,24.04.08,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20171019-structure-20171019.csv,16,за год
2022,Москва,магистратура,"27.04.08 Управление интеллектуальной собственностью, набор 2021 года (все профили)",очная,24,197000.0,197000.0,20.0,134.85,0.0,0.0,124,238254.8,27.04.08,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20220905-structure-20210629.csv,21,за год
2023,Москва,магистратура,"27.04.08 Управление интеллектуальной собственностью, набор 2021 года (все профили)",очная,24,238254.8,197000.0,20.0,142.76,0.0,0.0,124,238254.8,27.04.08,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20231004-structure-20210629.csv,21,за год
2024,Москва,магистратура,"27.04.08 Управление интеллектуальной собственностью, набор 2021 года (все профили)",очная,24,238254.8,197000.0,20.0,154.8,0.0,0.0,124,238254.8,27.04.08,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20240902-structure-20210629.csv,21,за год
2022,Москва,магистратура,"27.04.08 Управление интеллектуальной собственностью, профиль Менеджмент высоких технологий, 1 курс",очная,24,197000.0,197000.0,20.0,134.85,0.0,0.0,124,221500.0,27.04.08,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20220905-structure-20210629.csv,24,за год
2023,Москва,магистратура,"27.04.08 Управление интеллектуальной собственностью, профиль Менеджмент высоких технологий, 1 курс",очная,24,221500.0,197000.0,20.0,142.76,0.0,0.0,124,221500.0,27.04.08,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20231004-structure-20210629.csv,24,за год
2024,Москва,магистратура,"27.04.08 Управление интеллектуальной собственностью, профиль Менеджмент высоких технологий, 1 курс",очная,24,221500.0,197000.0,20.0,154.8,0.0,0.0,124,221500.0,27.04.08,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20240902-structure-20210629.csv,24,за год
2022,Москва,магистратура,"27.04.08 Управление интеллектуальной собственностью, профиль Управление интеллектуальной собственностью, 1 курс",очная,24,197000.0,197000.0,20.0,134.85,0.0,0.0,124,221500.0,27.04.08,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20220905-structure-20210629.csv,22,за год
2023,Москва,магистратура,"27.04.08 Управление интеллектуальной собственностью, профиль Управление интеллектуальной собственностью, 1 курс",очная,24,221500.0,197000.0,20.0,142.76,0.0,0.0,124,221500.0,27.04.08,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20231004-structure-20210629.csv,22,за год
2024,Москва,магистратура,"27.04.08 Управление интеллектуальной собственностью, профиль Управление интеллектуальной собственностью, 1 курс",очная,24,221500.0,197000.0,20.0,154.8,0.0,0.0,124,221500.0,27.04.08,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20240902-structure-20210629.csv,22,за год
2022,Москва,магистратура,"27.04.08 Управление интеллектуальной собственностью, профиль Управление интеллектуальной собственностью, 2 курс",очная,24,197000.0,197000.0,20.0,134.85,0.0,0.0,124,228100.0,27.04.08,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20220905-structure-20210629.csv,23,за год
2023,Москва,магистратура,"27.04.08 Управление интеллектуальной собственностью, профиль Управление интеллектуальной собственностью, 2 курс",очная,24,228100.0,197000.0,20.0,142.76,0.0,0.0,124,228100.0,27.04.08,Открытые данные Роспатента: платные образовательные услуги РГАИС,https://rospatent.gov.ru/opendata/7730176088-paidservices/data-20231004-structure-20210629.csv,23,за год
